#	COMANDOS									1 - Derecha a Izquierda
	column_names								inc	1:*	1:2	1:1	1:3
#	level properties
	description	main JC
	lives	20
	gold	175
	gems	150
	enemy_prefix	enemy_
	default_increment	1
	default_interval	20
#	expected gold	1200
#	stage total gold	561
#	stage gold curve
#	WAVE 1
#	enemies									bandit	blackguard	shadow_blades	shadow_archer
#	cant.									8	0	0	0
#	gold	40								40	0	0	0
	wave		1						-1
#	Signals start of wave for tutorial								0
									2		bandit_kr6
									0.8			bandit_kr6
									0.8				bandit_kr6
									0.4		bandit_kr6
									0.4			bandit_kr6
									12				bandit_kr6
									0.8			bandit_kr6
									0.8		bandit_kr6
	wait								1

#	WAVE 2
#	enemies									bandit	blackguard	shadow_blades	shadow_archer
#	cant.									14	0	0	0
#	gold	112								112	0	0	0
	wave		2						22
									0		bandit_kr6		bandit_kr6
									0.6			bandit_kr6
									0.6		bandit_kr6		bandit_kr6
									0.6			bandit_kr6
									0.6		bandit_kr6		bandit_kr6
									12		bandit_kr6
									0.6				bandit_kr6
									0.6			bandit_kr6
									1.2		bandit_kr6
									0.6				bandit_kr6
									0.6			bandit_kr6





#	WAVE 3
#	enemies									bandit	blackguard	shadow_blades	shadow_archer
#	cant.									16	0	0	0
#	gold	80								80	0	0	0
	wave		3						35
									0		bandit_kr6		bandit_kr6
									0.8			bandit_kr6
									6			bandit_kr6
									0.6		bandit_kr6		bandit_kr6
									0.8			bandit_kr6
									12		bandit_kr6		bandit_kr6
									1.2		bandit_kr6		bandit_kr6
									1.2		bandit_kr6		bandit_kr6
									6		bandit_kr6
									0.6				bandit_kr6
									0.6			bandit_kr6

#	WAVE 4
#	enemies									bandit	blackguard	shadow_blades	shadow_archer
#	cant.									8	4	0	0
#	gold	72								40	32	0	0
	wave		4						25
									0	bandit_kr6
									0.6	bandit_kr6
									0.6	bandit_kr6
									0.6	bandit_kr6
									12		blackguard
									1				blackguard
									6	bandit_kr6
									0.6	bandit_kr6
									0.6	bandit_kr6
									0.6	bandit_kr6
									10				blackguard
									1		blackguard

#	WAVE 5
#	enemies									bandit	blackguard	shadow_blades	shadow_archer
#	cant.									10	4	0	0
#	gold	82								50	32	0	0
	wave		5						25
									0		blackguard
									1			blackguard
									6		bandit_kr6		bandit_kr6
									0.6		bandit_kr6		bandit_kr6
									10		blackguard
									1				blackguard
									8		bandit_kr6
									0.6				bandit_kr6
									0.6		bandit_kr6
									0.6				bandit_kr6
									0.6		bandit_kr6
									0.6				bandit_kr6









#	TUTORIAL: small help at bottom
	manual_wave	tutorial							0
#
#	ftue-step : analytics
	signal	ftue-step	tutorial_begins						0
#
#	TUTORIAL START
#	HUD setup for tutorial
	signal	kr6-tutorial-start-tutorial							0
	signal	tutorial-hide-wave							0
	signal	tutorial-stop-input							0
	signal	tutorial-stop-movement							0
#	Prevent input from all holders
	signal	disable-all-holders							0
#	Center camera real quick while screen is dark
	signal	tutorial-pan-zoom-center-find	holder_with_id	2	0.1	0	66		0
	wait								0.4
#	Center on holder 6, in 1 second, offset 0 on x and 30 on y
	signal	tutorial-pan-zoom-center-find	holder_with_id	6	3.5	-30	60		0
	wait								0.8
#	SIGNAL MAIN WAVE TO START SPAWNING. (THIS WAY TO PREVENT PRE-BATTLE MUSIC)
	signal	kr6-tutorial-first-enemy-spawn							0
									0			bandit_tut_kr6
	wait								1.2
#	Also prevents knights flipping								0
	signal	kr6-tutorial-knights-look-right							0
#	Small wait to make it natural that knights take some time to spot the bandits								0
	wait								2.2
#	Knight warning balloon
	signal	show-balloon_tutorial-xy	TB_TOWER_WARNING	835	390				0
	wait								1.8
									0.5				bandit_tut_kr6
	wait								0.8
	signal	tutorial-hide-balloon	TB_TOWER_WARNING						0
	signal	enable-holder	6						0
	signal	tutorial-show-focus-circle-find	holder_with_id	6	0	0			0
	wait								0.6
									0		bandit_tut_kr6
	wait								0.8
									0			bandit_tut_kr6
	wait								0.4
#	Freezes enemies that have already spawned. WONT freeze new ones
	signal	tutorial-freeze-enemies							0
	signal	tutorial-resume-input							0
#	Disable all stage interactables (done here to disable enemies and keep input)
	signal	tutorial-disable-all-interactables							0
#
#	BUILD TOWER TUTORIAL
	signal	kr6-tutorial-sequence	build-tower						0
	wait_signal	tower-built							-1
