#	COMANDOS					1 - Abajo a Arriba Izquierda
	column_names				inc	1:*	1:2	1:1	1:3
#	level properties
	description	main JC
	lives	1
	gold	240
	gems	150
	enemy_prefix	enemy_
	default_increment	1
	default_interval	20
#	expected gold	1200
#	stage total gold	576.8933333
#	stage gold curve
#	WAVE 1					Bandit x20
#	enemies					bandit	blackguard	shadow_blades	shadow_archer		crow	crowcaller	headhunter	goblin		orc_warrior	wulf	worg
#	cant.					19	0	0	0		0	0	0	0		0	0	0	0
#	gold	95				95	0	0	0		0	0	0	0		0	0	0
	wave		1		-1
					0	bandit_kr6
					0.6	bandit_kr6
					0.6	bandit_kr6
					5	bandit_kr6
					0.6	bandit_kr6
					0.6	bandit_kr6
					5			bandit_kr6
					0.6		bandit_kr6		bandit_kr6
					0.6	bandit_kr6
					0.6	bandit_kr6
					4		bandit_kr6		bandit_kr6
					0.6			bandit_kr6
					6		bandit_kr6
					0.1				bandit_kr6
					0.6		bandit_kr6
					0.6				bandit_kr6
					0.1		bandit_kr6



#	WAVE 2					Bandit x16
Blackguard x8
#	enemies					bandit	blackguard	shadow_blades	shadow_archer		crow	crowcaller	headhunter	goblin		orc_warrior	wulf	worg
#	cant.					16	5	0	0		0	0	0	0		0	0	0	0
#	gold	120				80	40	0	0		0	0	0	0		0	0	0
					8		bandit_kr6		bandit_kr6
					0.6		bandit_kr6		bandit_kr6
					0
					4			bandit_kr6
					0.6		bandit_kr6		bandit_kr6
					0.6			bandit_kr6
					4	blackguard
					1.2	blackguard
					8	bandit_kr6
					0.6	bandit_kr6
					0.6	bandit_kr6
					0.6	bandit_kr6
					8			bandit_kr6
					0.6		bandit_kr6		bandit_kr6
					0.6			bandit_kr6
					4		blackguard
					1.2				blackguard
					1.2			blackguard














#	WAVE 3					Bandit x10
Blackguard x14
#	enemies					bandit	blackguard	shadow_blades	shadow_archer		crow	crowcaller	headhunter	goblin		orc_warrior	wulf	worg
#	cant.					8	10	0	0		0	0	0	0		0	0	0	0
#	gold	120				40	80	0	0		0	0	0	0		0	0	0
					10				blackguard
					1.2		blackguard
					3			bandit_kr6
					1.2		bandit_kr6		bandit_kr6
					0.6			bandit_kr6
					8		blackguard
					0.2				blackguard
					1			blackguard
					4		bandit_kr6		bandit_kr6
					2		bandit_kr6		bandit_kr6
					6		blackguard
					0.6				blackguard
					4			blackguard
					0.6		blackguard
					0.6				blackguard



#	TOTAL DURATION (min):	1.893333333
