#	COMANDOS					1 - Abajo a Arriba Izquierda					2 - Derecha a Arriba Derecha					3 - Abajo a Arriba Derecha					4 - Derecha a Arriba Izquierda
	column_names				inc	1:*	1:2	1:1	1:3		2:*	2:2	2:1	2:3		3:*	3:2	3:1	3:3		4:*	4:2	4:1	4:3
#	level properties
	description	main JC
	lives	20
	gold	300
	gems	150
	enemy_prefix	enemy_
	default_increment	1
	default_interval	20
#	expected gold	1200
#	stage total gold	1734
#	stage gold curve
#	WAVE 1										Bandit x8					Bandit x8
#	enemies					bandit	blackguard	shadow_blades	shadow_archer		crow	crowcaller	headhunter	goblin		orc_warrior	wulf	worg
#	cant.					16	0	0	0		0	0	0	0		0	0	0	0
#	gold	80				80	0	0	0		0	0	0	0		0	0	0
	wave		1		-1
					0						bandit_kr6
					0.6						bandit_kr6
					2						bandit_kr6
					0.6						bandit_kr6

					0											bandit_kr6
					0.6											bandit_kr6
					2											bandit_kr6
					0.6											bandit_kr6
	signal	wave-notification	icon	TIP_RALLY	0
					6						bandit_kr6
					0.6						bandit_kr6
					2						bandit_kr6
					0.6						bandit_kr6

					0											bandit_kr6
					0.6											bandit_kr6
					2											bandit_kr6
					0.6											bandit_kr6




#	WAVE 2					Blackguard x8															Bandit x12
#	enemies					bandit	blackguard	shadow_blades	shadow_archer		crow	crowcaller	headhunter	goblin		orc_warrior	wulf	worg
#	cant.					12	8	0	0		0	0	0	0		0	0	0	0
#	gold	124				60	64	0	0		0	0	0	0		0	0	0
	wave		2		22
					0																		bandit_kr6
					0.6																	bandit_kr6		bandit_kr6
					4		blackguard		blackguard
	signal	wave-notification	icon	TIP_ARMOR	0
					2																		bandit_kr6
					0.6																	bandit_kr6		bandit_kr6
					0
					8		blackguard		blackguard

					4																	bandit_kr6		bandit_kr6
					1																	bandit_kr6		bandit_kr6
					1																	bandit_kr6		bandit_kr6
					0.6
					8		blackguard
					0.6				blackguard
					0.6		blackguard
					0.6				blackguard











#	WAVE 3										Bandit x18
S. Archer x6
#	enemies					bandit	blackguard	shadow_blades	shadow_archer		crow	crowcaller	headhunter	goblin		orc_warrior	wulf	worg
#	cant.					20	0	0	6		0	0	0	0		0	0	0	0
#	gold	190				100	0	0	90		0	0	0	0		0	0	0
	wave		3		22
					0							bandit_kr6
					0.6									bandit_kr6
					0.6							bandit_kr6
					3									bandit_kr6
					0.6							bandit_kr6
					0.6									bandit_kr6
					3							bandit_kr6
					0.6									bandit_kr6
					0.6							bandit_kr6
					0.6									bandit_kr6
					5								shadow_archer
	signal	wave-notification	icon	TIP_ARMOR_MAGIC	0
					2							shadow_archer
					2									shadow_archer
					1
					12									bandit_kr6
					0.6							bandit_kr6
					0.6									bandit_kr6
					3							bandit_kr6
