#	COMANDOS					1 - Abajo a Arriba Izquierda					2 - Derecha a Arriba Derecha					3 - Abajo a Arriba Derecha					4 - Derecha a Arriba Izquierda
	column_names				inc	1:*	1:2	1:1	1:3		2:*	2:2	2:1	2:3		3:*	3:2	3:1	3:3		4:*	4:2	4:1	4:3
#	level properties
	description	main JC
	lives	1
	gold	300
	gems	150
	enemy_prefix	enemy_
	default_increment	1
	default_interval	20
#	expected gold	1200
#	stage total gold	1099.858333
#	stage gold curve
#	WAVE 1					Bandit x12
S. Archer x6					Bandit x12
#	enemies					bandit	blackguard	shadow_blades	shadow_archer		crow	crowcaller	headhunter	goblin		orc_warrior	wulf	worg
#	cant.					10	10	0	0		0	0	0	0		0	0	0	0
#	gold	130				50	80	0	0		0	0	0	0		0	0	0
	wave		1		-1
					0		bandit_kr6		bandit_kr6
					0.6			bandit_kr6
					1		bandit_kr6		bandit_kr6
					0.6			bandit_kr6
					1		blackguard
					2				blackguard
					1.2		blackguard
					1.2				blackguard
					4								blackguard
					0.6							blackguard		blackguard
					8			bandit_kr6				blackguard
					0.6				bandit_kr6					blackguard
					0.6		bandit_kr6						blackguard
					0.6			bandit_kr6
#	WAVE 2					S. Blades x16															Blackguard x12
#	enemies					bandit	blackguard	shadow_blades	shadow_archer		crow	crowcaller	headhunter	goblin		orc_warrior	wulf	worg
#	cant.					0	10	6	0		0	0	0	0		0	0	0	0
#	gold	140				0	80	60	0		0	0	0	0		0	0	0
#	wave		2		22
					6																blackguard
					0.8																blackguard
					0.8																blackguard
					8			shadow_blades
					0.6		shadow_blades
					0.6				shadow_blades
					4																blackguard
					0.8																		blackguard
					0.8																blackguard
					6		shadow_blades
					0.8				shadow_blades
					0.8		shadow_blades
					4																		blackguard
					0.6																blackguard
					0.6																blackguard
					0.6																		blackguard

#	WAVE 3										Bandit x20					Archer x12
#	enemies					bandit	blackguard	shadow_blades	shadow_archer		crow	crowcaller	headhunter	goblin		orc_warrior	wulf	worg
#	cant.					16	5	0	4		0	0	0	0		0	0	0	0
#	gold	180				80	40	0	60		0	0	0	0		0	0	0
#	wave		3		22
					8							bandit_kr6		bandit_kr6			shadow_archer
					0.6								bandit_kr6
					0.6							bandit_kr6		bandit_kr6					shadow_archer
					0.6								bandit_kr6
					0.6							bandit_kr6		bandit_kr6
					6								blackguard
					0.8							blackguard
					0.8								blackguard
					0.8									blackguard
					0.8								blackguard
					4								bandit_kr6						shadow_archer
					0.6							bandit_kr6		bandit_kr6
					0.6							bandit_kr6		bandit_kr6			shadow_archer
					0.6							bandit_kr6		bandit_kr6
					0.6								bandit_kr6

