#	COMANDOS					1 - Derecha Arriba a Arriba (MR / SWARM)					2 - Derecha Abajo a Izquierda (ARMOR)					3 - Derecha Arriba a Izquierda (ARMOR)					4 - Derecha Abajo a Arriba (MR)
	column_names				inc	1:*	1:2	1:1	1:3		2:*	2:2	2:1	2:3		3:*	3:2	3:1	3:3		4:*	4:2	4:1	4:3
#	level properties
	description	main JC
	lives	1
	gold	600
	gems	150
	enemy_prefix	enemy_
	default_increment	1
	default_interval	20
#	expected gold	1200
#	stage total gold	2021.456667
#	stage gold curve
#	WAVE 1					Bandit x12
S. Blade x8					Bandit x16
Blackguard x4
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin		orc_warrior	wulf	worg
#	cant.					20	4	7	0		0	0	0	0		0	0	0	0
#	gold	202				100	32	70	0		0	0	0	0		0	0	0
	wave		1		-1
					0								bandit_kr6
					0.6							bandit_kr6		bandit_kr6
					0.6								bandit_kr6
					0.6							bandit_kr6		bandit_kr6
					0.6				bandit_kr6
					0.6			bandit_kr6
					0.6		bandit_kr6		bandit_kr6
					0.6			bandit_kr6
					0.6				bandit_kr6
					4								blackguard
					0.6							blackguard
					0.6									blackguard
					0.6								blackguard
					5		shadow_blades
					0.6				shadow_blades
					0.6			shadow_blades
					4							bandit_kr6		bandit_kr6
					0.6								bandit_kr6
					0.6							bandit_kr6		bandit_kr6
					0.6								bandit_kr6
					0.6							bandit_kr6		bandit_kr6
					5			shadow_blades
					0.6		shadow_blades		shadow_blades
					0.6			shadow_blades

#	WAVE 2										Blackguard x20					Bandit x16
S. Archer x6
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin		orc_warrior	wulf	worg
#	cant.					14	18	0	4		0	0	0	0		0	0	0	0
#	gold	274				70	144	0	60		0	0	0	0		0	0	0
#	wave		2		0
					4								blackguard
					0.8							blackguard
					0.8									blackguard
					4							blackguard
					0.1									blackguard
					0.8									blackguard
					0.1							blackguard
					4													bandit_kr6
					0.6												bandit_kr6		bandit_kr6
					0.6													bandit_kr6
					1												bandit_kr6		bandit_kr6
					3												shadow_archer_kr6
					1														shadow_archer_kr6
					0.6
					6								blackguard
					0.8							blackguard		blackguard
					2								blackguard
					0.8							blackguard		blackguard
					4								blackguard
					0.8							blackguard
					0.8								blackguard
					0.8									blackguard
					0.8								blackguard
					6													bandit_kr6
					0.6												bandit_kr6		bandit_kr6
					0.6													bandit_kr6
					0.6												bandit_kr6		bandit_kr6
					0.6												bandit_kr6		bandit_kr6
					3														shadow_archer_kr6
					1												shadow_archer_kr6
					1

#	WAVE 3															Bandit x30					Bandit x30
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin		orc_warrior	wulf	worg
#	cant.					57	0	0	0		0	0	0	0		0	0	0	0
#	gold	285				285	0	0	0		0	0	0	0		0	0	0
#	wave		3		0
					8																	bandit_kr6		bandit_kr6
					0.6																		bandit_kr6
					0.6																	bandit_kr6		bandit_kr6
					0.6																		bandit_kr6
					0.6																	bandit_kr6		bandit_kr6
					0.6																	bandit_kr6		bandit_kr6
					0.6																		bandit_kr6
					3												bandit_kr6		bandit_kr6
					0.6												bandit_kr6		bandit_kr6
					0.6													bandit_kr6
					0.6												bandit_kr6		bandit_kr6
					0.6												bandit_kr6		bandit_kr6
					0.6													bandit_kr6
					3												bandit_kr6
					0.6													bandit_kr6
					0.6												bandit_kr6
					0.6													bandit_kr6
					0.6														bandit_kr6
					0.6													bandit_kr6
					0.6														bandit_kr6
					0.6													bandit_kr6
					2																		bandit_kr6
					0.6																	bandit_kr6		bandit_kr6
					0.6																	bandit_kr6
					0.6																			bandit_kr6
					0.6																	bandit_kr6		bandit_kr6
					0.6																		bandit_kr6
					3																	bandit_kr6		bandit_kr6
					0.6																		bandit_kr6
					0.6																	bandit_kr6		bandit_kr6
					0.6																		bandit_kr6
					0.6																	bandit_kr6		bandit_kr6
					0.6																		bandit_kr6
					3												bandit_kr6		bandit_kr6
					0.6													bandit_kr6
					0.6													bandit_kr6
					0.6												bandit_kr6		bandit_kr6
					0.6												bandit_kr6		bandit_kr6
					0.6													bandit_kr6
					0.6												bandit_kr6		bandit_kr6





















#	WAVE 4					S. Archer x12
Crow x15															S. Blade x26
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin		orc_warrior	wulf	worg
#	cant.					0	0	22	7		16	0	0	0		0	0	0	0
#	gold	357				0	0	220	105		32	0	0	0		0	0	0
#	wave		4		0
					10																shadow_blades
					0.6																shadow_blades
					0.6																shadow_blades
					0.6																shadow_blades
					4																shadow_blades
					0.6																shadow_blades
					0.6																shadow_blades
					0.6																shadow_blades
					0.6																shadow_blades
					0.6																shadow_blades
					1.2		shadow_archer_kr6
					0.1				shadow_archer_kr6
					1.2			shadow_archer_kr6
					3	crow
					0.6	crow
					0.6	crow
					0.6	crow
					3	crow
					0.6	crow
					0.6	crow
					0.6	crow
					1																shadow_blades
					0.6																shadow_blades
					0.6																shadow_blades
					3																shadow_blades
					0.6																shadow_blades
					0.6																shadow_blades
					3																shadow_blades
					0.6																shadow_blades
					0.6																shadow_blades
					3																shadow_blades
					0.6																shadow_blades
					0.6																shadow_blades
					1			shadow_archer_kr6
					1				shadow_archer_kr6
					0.1		shadow_archer_kr6
					1			shadow_archer_kr6
					3	crow
					0.6	crow
					0.6	crow
					0.6	crow
					3	crow
					0.6	crow
					0.6	crow
					0.6	crow








#	WAVE 5					S. Blade x16					Blackguard x20
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin		orc_warrior	wulf	worg
#	cant.					0	20	14	0		0	0	0	0		0	0	0	0
#	gold	300				0	160	140	0		0	0	0	0		0	0	0
#	wave		5		0
					1		shadow_blades
					0.6			shadow_blades
					0.6		shadow_blades
					0.6			shadow_blades
					4							blackguard
					0.8									blackguard
					0.7									blackguard
					0.6							blackguard
					0.6									blackguard
					0.8							blackguard
					0.8							blackguard
					0.7									blackguard
					2			shadow_blades
					0.6				shadow_blades
					0.6			shadow_blades
					0.6				shadow_blades
					0.6			shadow_blades
					0.6		shadow_blades
					0								blackguard
					0.8							blackguard		blackguard
					0.8							blackguard		blackguard
					4							blackguard		blackguard
					0.8							blackguard		blackguard
					0.8		shadow_blades					blackguard		blackguard
					0.8				shadow_blades				blackguard
					0.8			shadow_blades
					0.8		shadow_blades


#	TOTAL DURATION (min):	3.456666667
