#	COMANDOS					1 - Abajo Izquierda a Arriba Izquierda
(ARMOR)					2 - Abajo Derecha a Arriba Derecha
(MR)					3 - Izquierda a Arriba Izquierda
(ORCS)
	column_names				inc	1:*	1:2	1:1	1:3		2:*	2:2	2:1	2:3		3:*	3:2	3:1	3:3
#	level properties
	description	main JC
	lives	20
	gold	600
	gems	150
	enemy_prefix	enemy_
	default_increment	1
	default_interval	20
#	expected gold	1200
#	stage total gold	2313
#	stage gold curve
#	WAVE 1					Bandit x10
Blackguard x6
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre
#	cant.					18	10	0	0		0	0	0	0		0	0	0	0		0	0	0
#	gold	170				90	80	0	0		0	0	0	0		0	0	0	0		0	0	0
	wave		1		-1
					0		blackguard
					1				blackguard
					2		bandit_kr6
					0.6				bandit_kr6
					0.6		bandit_kr6
					0.6				bandit_kr6
					0
					0
					12		blackguard		blackguard
					1		bandit_kr6		bandit_kr6
					1		bandit_kr6		bandit_kr6
					1		bandit_kr6		bandit_kr6
					12		bandit_kr6		bandit_kr6
					0.6		bandit_kr6		bandit_kr6
					1		blackguard		blackguard
					1		blackguard		blackguard
					1		blackguard		blackguard
					3		bandit_kr6
					1				bandit_kr6
					1		bandit_kr6
					1				bandit_kr6

#	WAVE 2										Bandit x16
S. Archers x6
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre
#	cant.					20	0	0	6		0	0	0	0		0	0	0	0		0	0	0
#	gold	190				100	0	0	90		0	0	0	0		0	0	0	0		0	0	0
	wave		2		22
					0.6						bandit_kr6
					0.6						bandit_kr6
					0.6						bandit_kr6
					0.8						shadow_archer_kr6
					0
					4						shadow_archer_kr6
					0.6						bandit_kr6
					0.6						bandit_kr6
					0.6						bandit_kr6
					0
					10							bandit_kr6		bandit_kr6
					0.6								bandit_kr6
					0.6							bandit_kr6
					1.2									shadow_archer_kr6
					0
					4							bandit_kr6		bandit_kr6
					0.6								bandit_kr6
					1.2							shadow_archer_kr6
					0
					6							bandit_kr6		bandit_kr6
					0.6								bandit_kr6
					2							shadow_archer_kr6
					0.8									shadow_archer_kr6
					4						bandit_kr6
					1						bandit_kr6
					1						bandit_kr6
					1						bandit_kr6


#	WAVE 3										Bandit x20
Crowcaller x2
Blackguard x4
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre
#	cant.					27	4	0	0		0	2	0	0		0	0	0	0		0	0	0
#	gold	247				135	32	0	0		0	80	0	0		0	0	0	0		0	0	0
	wave		3		23
					0								crowcaller
					4							bandit_kr6
					0.6									bandit_kr6
					0.6							bandit_kr6
					0.6									bandit_kr6
					0.6							bandit_kr6
					0
					12							bandit_kr6		bandit_kr6
					0.8							bandit_kr6		bandit_kr6
					1								crowcaller
					0.8							bandit_kr6		bandit_kr6
					0.8							bandit_kr6		bandit_kr6
	event	stage04-minecraft-easteregg			0
					4							bandit_kr6
					1									bandit_kr6
					1							bandit_kr6
					1									bandit_kr6
					1							bandit_kr6
					1									bandit_kr6
					12							blackguard
					0.8									blackguard
					0.8							blackguard
					0.8									blackguard
					2								bandit_kr6
					0.8							bandit_kr6		bandit_kr6
					0.8							bandit_kr6		bandit_kr6
					0.8							bandit_kr6		bandit_kr6
					0.8								bandit_kr6












#	WAVE 4					Bandit x16
S. Blades x10
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre
#	cant.					16	0	10	0		0	0	0	0		0	0	0	0		0	0	0
#	gold	180				80	0	100	0		0	0	0	0		0	0	0	0		0	0	0
	wave		4		22
					0.6		bandit_kr6		bandit_kr6
					0.6			bandit_kr6
					0.6		bandit_kr6
					1				bandit_kr6
					0.6			bandit_kr6
					0.6		bandit_kr6		bandit_kr6
					4		bandit_kr6		bandit_kr6
					0.6			bandit_kr6
					0.6		bandit_kr6		bandit_kr6
					0.6		bandit_kr6		bandit_kr6
					0.6			bandit_kr6
					14	shadow_blades
					0.6	shadow_blades
					0.6	shadow_blades
					0.6	shadow_blades
					0.6	shadow_blades
					0
					4		shadow_blades
					0.6				shadow_blades
					0.6		shadow_blades
					0.6				shadow_blades
					0.6			shadow_blades



#	WAVE 5					Blackguard x16					Bandit x16
S. Archers x6
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre
#	cant.					16	16	0	6		0	0	0	0		0	0	0	0		0	0	0
#	gold	298				80	128	0	90		0	0	0	0		0	0	0	0		0	0	0
	wave		5		22
					0		blackguard		blackguard
					2			blackguard
					1		blackguard		blackguard
					1							bandit_kr6		bandit_kr6
					0.8							bandit_kr6		bandit_kr6
					0.8							bandit_kr6		bandit_kr6
					0.8							bandit_kr6		bandit_kr6
					3								shadow_archer_kr6
					2							shadow_archer_kr6
					2									shadow_archer_kr6
					4			blackguard
					1		blackguard
					1				blackguard
					1		blackguard
					1				blackguard
					4								bandit_kr6
					0.8							bandit_kr6		bandit_kr6
					0.8							bandit_kr6		bandit_kr6
					0.8							bandit_kr6		bandit_kr6
					0.8								bandit_kr6
					2							shadow_archer_kr6
					2									shadow_archer_kr6
					2								shadow_archer_kr6
					2		blackguard		blackguard
					1			blackguard
					1		blackguard		blackguard
					1			blackguard


#	WAVE 6					S. Blades x16
Crow x20
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre
#	cant.					0	0	16	0		20	0	0	0		0	0	0	0		0	0	0
#	gold	200				0	0	160	0		40	0	0	0		0	0	0	0		0	0	0
	wave		6		24
					0		shadow_blades
					0.8				shadow_blades
					0.8			shadow_blades
					1				shadow_blades
					0.8		shadow_blades
					0.8			shadow_blades
					0.8		shadow_blades		shadow_blades
					5	crow
					0.6	crow
					0.6	crow
					0.6	crow
					0.6	crow
					3	crow
					0.6	crow
					0.6	crow
					0.6	crow
					0.6	crow
					4	crow
					0.6	crow
					0.6	crow
					0.6	crow
					0.6	crow
					3	crow
					0.6	crow
					0.6	crow
					0.6	crow
					0.6	crow
					4	shadow_blades
					0.6	shadow_blades
					0.6	shadow_blades
					0.6	shadow_blades
					1.5	shadow_blades
					0.6	shadow_blades
					0.6	shadow_blades
					0.6	shadow_blades

	wait_signal	all_enemies_died			-1
	wait				1
	event	wall_explosion
	wait_signal	wall_explosion_end			-1

















#	WAVE 7															Goblin x40
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre
#	cant.					0	0	0	0		0	0	0	36		0	0	0	0		0	0	0
#	gold	108				0	0	0	0		0	0	0	108		0	0	0	0		0	0	0
	flags															n	n	n	n
	wave		7		1
					1														goblin_kr6
					0.6												goblin_kr6	goblin_kr6
					0.6													goblin_kr6	goblin_kr6
					0.6												goblin_kr6
					0.6												goblin_kr6		goblin_kr6
					0.6
					0.6												goblin_kr6		goblin_kr6
					0.6												goblin_kr6
					4													goblin_kr6
					0.6														goblin_kr6
					0.6														goblin_kr6
					0.6												goblin_kr6	goblin_kr6
					0.6													goblin_kr6
					0.6												goblin_kr6		goblin_kr6
					0.6													goblin_kr6
					3												goblin_kr6		goblin_kr6
					0.6												goblin_kr6
					0.6														goblin_kr6
					0.6												goblin_kr6	goblin_kr6
					0.6														goblin_kr6
					0.6												goblin_kr6		goblin_kr6
					0.6												goblin_kr6
					0.6													goblin_kr6	goblin_kr6
					0.6												goblin_kr6
					0.6												goblin_kr6
					0.6													goblin_kr6	goblin_kr6
























#	WAVE 8					Crowcaller x2										Goblin x20
O. Warrior x12
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre
#	cant.					0	0	0	0		0	2	0	20		12	0	0	0		0	0	0
