#	COMANDOS					1 - Derecha Arriba a Izquierda Arriba (MR y Rápidos)					2 - Abajo a Izquierda Abajo (ARMOR)					3 - Derecha Arriba a Izquierda Abajo (MR y Rápidos)					4 - Abajo a Izquierda Arriba (Armor y Rápidos)					5 - Arriba a Izquierda Arriba (Orc Wildlings y Orcs en general)
	column_names				inc	1:*	1:2	1:1	1:3		2:*	2:2	2:1	2:3		3:*	3:2	3:1	3:3		4:*	4:2	4:1	4:3		5:*	5:2	5:1	5:3
#	level properties
	description	main JC
	lives	20
	gold	700
	gems	150
	enemy_prefix	enemy_
	default_increment	1
	default_interval	20
#	expected gold	1200
#	stage total gold	3004
#	stage gold curve
#	WAVE 1					S. Blade x8
Bandit x9					Blackguard x7
Bandit x9
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre
#	cant.					18	8	6	0		0	0	0	0		0	0	0	0		0	0	0
#	gold	214				90	64	60	0		0	0	0	0		0	0	0	0		0	0	0
	wave		1		-1
					0							blackguard
					1									blackguard
					1							blackguard
					1								blackguard
					3						bandit_kr6
					0.6						bandit_kr6
					0.6						bandit_kr6
					0.6	bandit_kr6					bandit_kr6
					0.6	bandit_kr6
					0.6	bandit_kr6
					0.6	bandit_kr6
					8	shadow_blades
					0.6	shadow_blades
					0.6	shadow_blades
					6						bandit_kr6
					0.6						bandit_kr6
					0.6						bandit_kr6
					0.6						bandit_kr6
					0.6						bandit_kr6
					0.6
					0.6
					0.6	shadow_blades
					0.6	shadow_blades
					0.6	shadow_blades
					1	bandit_kr6								blackguard
					0.6	bandit_kr6
					0.6	bandit_kr6						blackguard
					0.6	bandit_kr6
					0.6	bandit_kr6							blackguard
					1.2							blackguard

#	WAVE 2					Goblin x12
Wulf x18
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre
#	cant.					12	0	0	0		0	0	0	0		0	18	0	0		0	0	0
#	gold	132				60	0	0	0		0	0	0	0		0	72	0	0		0	0	0
	wave		2		22
					0	wulf
					0.6	wulf
					0.6	wulf
					2	wulf
					0.6	wulf
					0.6	wulf
					2	bandit_kr6
					0.6	bandit_kr6
					0.6	bandit_kr6
					1	bandit_kr6
					0.6	bandit_kr6
					0.6	bandit_kr6
					3	bandit_kr6
					0.6	bandit_kr6
					0.6	bandit_kr6
					1	bandit_kr6
					0.6	bandit_kr6
					0.6	bandit_kr6
					6	wulf
					0.6	wulf
					0.6	wulf
					0.6	wulf
					0.6	wulf
					0.6	wulf
					4	wulf
