#	COMANDOS					1 - Derecha Arriba a Izquierda Arriba (Armor)					2 - Abajo a Izquierda Abajo (MR y Rápidos)					3 - Derecha Arriba a Izquierda Abajo (MR y Rápidos)					4 - Abajo a Izquierda Arriba (Crow)					5 - Arriba a Izquierda Arriba (Orc y Worgs)
	column_names				inc	1:*	1:2	1:1	1:3		2:*	2:2	2:1	2:3		3:*	3:2	3:1	3:3		4:*	4:2	4:1	4:3		5:*	5:2	5:1	5:3
#	level properties
	description	main JC
	lives	20
	gold	950
	gems	150
	enemy_prefix	enemy_
	default_increment	1
	default_interval	20
#	expected gold	1200
#	stage total gold	3273.756667
#	stage gold curve
#	WAVE 1										Bandit x24
S. Archer x9					Wulf x20
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre
#	cant.					24	0	0	9		0	0	0	0		0	20	0	0		0	0	0
#	gold	335				120	0	0	135		0	0	0	0		0	80	0	0		0	0	0
	wave		1		-1
					0											wulf
					0.6											wulf
					0.6											wulf
					0.6											wulf
					0.6											wulf
					0.6											wulf
					1							bandit_kr6		bandit_kr6
					0.6							bandit_kr6		bandit_kr6
					0.6							bandit_kr6		bandit_kr6
					1								shadow_archer_kr6
					2							shadow_archer_kr6
					2									shadow_archer_kr6
					0											wulf
					0.6											wulf
					0.6											wulf
					0.6											wulf
					4											wulf
					0.6											wulf
					0.6											wulf
					0.6											wulf
					2								bandit_kr6
					0.6							bandit_kr6		bandit_kr6
					0.6							bandit_kr6		bandit_kr6
					0.6								bandit_kr6
					4							bandit_kr6
					0.6									bandit_kr6
					0.6							bandit_kr6
					0.6									bandit_kr6
					0.6							bandit_kr6
					0.6									bandit_kr6
					1								shadow_archer_kr6
					2									shadow_archer_kr6
					2							shadow_archer_kr6
					0											wulf
					0.6											wulf
					0.6											wulf
					0.6											wulf
					0.6											wulf
					0.6											wulf
					2								bandit_kr6	bandit_kr6
					0.6							bandit_kr6		bandit_kr6
					0.6							bandit_kr6	bandit_kr6
					1									shadow_archer_kr6
					2							shadow_archer_kr6
					2									shadow_archer_kr6









#	WAVE 2					Blackguard x16					S. Blade x16										Crowcaller x2
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre
#	cant.					0	16	16	0		0	2	0	0		0	0	0	0		0	0	0
#	gold	368				0	128	160	0		0	80	0	0		0	0	0	0		0	0	0
#	wave		2		22
					4	blackguard
					1	blackguard
					1	blackguard
					1	blackguard
					1	blackguard
					4																		crowcaller
					4						shadow_blades
					0.6						shadow_blades
					0.6						shadow_blades
					0.6						shadow_blades
					0.6						shadow_blades
					2		blackguard		blackguard
					1		blackguard		blackguard
					1			blackguard
					5						shadow_blades
					0.6						shadow_blades
					0.6						shadow_blades
					0.6						shadow_blades
					4			blackguard															crowcaller
					1		blackguard		blackguard
					2			blackguard
					1		blackguard		blackguard
					4						shadow_blades
					0.6						shadow_blades
					0.6						shadow_blades
					0.6						shadow_blades
					1.2						shadow_blades
					0.6						shadow_blades
					0.6						shadow_blades





#	WAVE 3																				Crowcaller x4
Worg x12					Wulf x20
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre
#	cant.					0	0	0	0		0	2	0	0		0	18	13	0		0	0	0
#	gold	282				0	0	0	0		0	80	0	0		0	72	130	0		0	0	0
#	wave		3		22
					4																	crowcaller
					5																			worg
					2																		worg
					2																			worg
					2																		worg
					3																					wulf
					0.6																					wulf
					0.6																					wulf
					0.6																					wulf
					0.6																					wulf
					0.6																					wulf
					2																			crowcaller
					4																	worg
					2																		worg
					1.5																	worg
					1.5																		worg
					3																					wulf
					0.6																					wulf
					0.6																					wulf
					0.6																					wulf
					0.6																					wulf
					0.6																					wulf
					0
					0
					2																worg
					2																worg
					2																worg
					1.5																worg
					1.5																worg
					0																					wulf
					0.6																					wulf
					0.6																					wulf
					0.6																					wulf
					0.6																					wulf
					0.6																					wulf





#	WAVE 4					Wildling x6
Worg x12																				O. Warrior x12
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre
#	cant.					21	0	0	0		0	0	0	0		11	0	7	0		4	0	0
#	gold	420				105	0	0	0		0	0	0	0		165	0	70	0		80	0	0
#	wave		4		25
					1																						orc_warrior
					2																								orc_warrior
					2																							orc_warrior
					0		orc_wildling
					3				worg
					0.6						bandit_kr6
					0.6						bandit_kr6
					0.8			worg			bandit_kr6
					0.6						bandit_kr6
					1.2						bandit_kr6
					0.6						bandit_kr6
					0.6						bandit_kr6
					0.6						bandit_kr6
					0.4		orc_wildling
					4			worg
					2				worg																	orc_warrior
					2																					orc_warrior
					2																					orc_warrior
					2																					orc_warrior
					1						bandit_kr6
					0.6						bandit_kr6
					0.6						bandit_kr6
					0.6						bandit_kr6
					0.6						bandit_kr6
					0.6						bandit_kr6
					0.6						bandit_kr6
					1.4																						orc_warrior		orc_warrior
					2		orc_wildling
					2				orc_wildling																		orc_warrior		orc_warrior
					1			worg
					3		worg
					1			worg
					0.6						bandit_kr6
					0.6						bandit_kr6
					0.6						bandit_kr6
					0.6						bandit_kr6
					0.6						bandit_kr6
					0.6						bandit_kr6















#	WAVE 5										S. Blade x15					Wulf x20
Worg x12
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre
#	cant.					0	0	15	0		0	0	0	0		0	36	12	0		0	0	0
#	gold	414				0	0	150	0		0	0	0	0		0	144	120	0		0	0	0
#	wave		5		25
					5											worg
					1.2											worg
					1.2											worg
					1.2											worg
					4						shadow_blades															wulf
					0.6						shadow_blades															wulf
					0.6						shadow_blades															wulf
					0.6						shadow_blades															wulf
					0.6						shadow_blades															wulf
					2														worg
					0.6												wulf
					0.6												wulf
					0.6													wulf	worg
					0.6												wulf
					0.6													wulf
					0.6												wulf		worg
					5												worg
					2														worg
					2													worg
					0.6											wulf
					0.6											wulf										wulf
					0.6											wulf										wulf
					0.6											wulf										wulf
					0.6											wulf										wulf
					0.6											wulf										wulf
					4						shadow_blades
					0.6						shadow_blades
					0.6						shadow_blades
					0.6						shadow_blades							worg
					0.6						shadow_blades
					0.9												worg
					0.6														wulf
					0.6													wulf
					0.6													wulf								wulf
					0.6														wulf							wulf
					0.6														wulf							wulf
					0.6													wulf								wulf
					0.6														wulf							wulf
					0.6													wulf								wulf
					4						shadow_blades
					0.6						shadow_blades
					0.6						shadow_blades
					0.6						shadow_blades
					0.6						shadow_blades







#	WAVE 6					Wildling x18					S. Archer x12
Blackguard x20															Worg x12
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre
#	cant.					0	20	0	6		0	0	0	0		0	2	8	0		8	0	0
#	gold	498				0	160	0	90		0	0	0	0		0	8	80	0		160	0	0
#	wave		6		24
					0											wulf										worg
					0.5											wulf
					0.5											wulf
					0.5											wulf										worg
					0.5											wulf
					0.5											wulf
					1																					worg
					1											wulf
					0.5											wulf
					0.5											wulf										worg
					0	orc_wildling
					0.5											wulf
					0.5											wulf
					1.5	orc_wildling
					2.5	orc_wildling
					2.5	orc_wildling
					0							blackguard		blackguard
					1							blackguard		blackguard
					1							blackguard		blackguard
					1							blackguard		blackguard
					1								blackguard
					3							shadow_archer_kr6
					1.2									shadow_archer_kr6
					1.2								shadow_archer_kr6
					3																					worg
					1.5	orc_wildling																				worg
					1.5																					worg
					1.5	orc_wildling																				worg
					3	orc_wildling
					1								blackguard
					1							blackguard		blackguard
					1	orc_wildling						blackguard		blackguard
					0
					4								blackguard
					1							blackguard		blackguard
					1							blackguard		blackguard
					1								blackguard
					2									shadow_archer_kr6
					1.2							shadow_archer_kr6
					1.2								shadow_archer_kr6													worg
					1.2																					worg
					1.2																					worg
					1.2																					worg




#	TOTAL DURATION (min):	6.756666667





















#	WAVE 7
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre
#	cant.					0	0	0	0		0	0	0	0		0	0	0	0		0	0	0
#	gold	0				0	0	0	0		0	0	0	0		0	0	0	0		0	0	0
#	wave		7		20
































































#	WAVE 8
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre
#	cant.					0	0	0	0		0	0	0	0		0	0	0	0		0	0	0
#	gold	0				0	0	0	0		0	0	0	0		0	0	0	0		0	0	0
#	wave		8		24






































































#	WAVE 9
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre
#	cant.					0	0	0	0		0	0	0	0		0	0	0	0		0	0	0
#	gold	0				0	0	0	0		0	0	0	0		0	0	0	0		0	0	0
#	wave		9		21


































#	WAVE 10
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre
#	cant.					0	0	0	0		0	0	0	0		0	0	0	0		0	0	0
#	gold	0				0	0	0	0		0	0	0	0		0	0	0	0		0	0	0
#	wave		10		1
















































#	WAVE 11
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre
#	cant.					0	0	0	0		0	0	0	0		0	0	0	0		0	0	0
#	gold	0				0	0	0	0		0	0	0	0		0	0	0	0		0	0	0
#	wave		11		22




























































		#


#	WAVE 12
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre
#	cant.					0	0	0	0		0	0	0	0		0	0	0	0		0	0	0
#	gold	0				0	0	0	0		0	0	0	0		0	0	0	0		0	0	0
#	wave		12		25














































#	WAVE 13
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre
#	cant.					0	0	0	0		0	0	0	0		0	0	0	0		0	0	0
#	gold	0				0	0	0	0		0	0	0	0		0	0	0	0		0	0	0
#	wave		13		22






































#	WAVE 14
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre
#	cant.					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	gold	0				0	0	0	0		0	0	0	0		0	0	0	0		0	0	0
#	wave		14		23







































#	WAVE 15
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre
#	cant.					0	0	0	0		0	0	0	0		0	0	0	0		0	0	0
#	gold	0				0	0	0	0		0	0	0	0		0	0	0	0		0	0	0
#	wave		15		21
