#	COMANDOS					1 - Izquierda a Centro
(Mid / Rápidos)					2 - Arriba a Centro
(MR / Rápidos / No Res)					3 - Derecha a Centro
(Armor / Lentos)
	column_names				inc	1:*	1:2	1:1	1:3		2:*	2:2	2:1	2:3		3:*	3:2	3:1	3:3
#	level properties
	description	main JC
	lives	20
	gold	850
	gems	150
	enemy_prefix	enemy_
	default_increment	1
	default_interval	20
#	expected gold	1200
#	stage total gold	3260
#	stage gold curve
#	WAVE 1					Bandit x12
S. Blade x6					Wulf x12
Worg x4
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre
#	cant.					12	0	6	0		0	0	0	0		0	12	4	0		0	0	0
#	gold	208				60	0	60	0		0	0	0	0		0	48	40	0		0	0	0
	wave		1		-1
					0							worg
					2								worg
					6							wulf
					0.6			bandit_kr6						wulf
					0.6				bandit_kr6				wulf
					0.6		bandit_kr6					wulf
					0.6			bandit_kr6						wulf
					0.6		bandit_kr6		bandit_kr6				wulf
					6	shadow_blades
					0.6	shadow_blades
					0.6	shadow_blades
					12									worg
					2								worg
					6							wulf
					0.6								wulf
					0.6			bandit_kr6						wulf
					0.6		bandit_kr6		bandit_kr6				wulf
					0.6		bandit_kr6					wulf
					0.6				bandit_kr6				wulf
					0.6			bandit_kr6
					6	shadow_blades
					0.6	shadow_blades
					0.6	shadow_blades















#	WAVE 2					Bandit x12
S. Archer x6										Blackguard x8
Bandit x12
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre
#	cant.					24	8	0	6		0	0	0	0		0	0	0	0		0	0	0
#	gold	274				120	64	0	90		0	0	0	0		0	0	0	0		0	0	0
	wave		2		25
					0													bandit_kr6
					0.6												bandit_kr6		bandit_kr6
					1												bandit_kr6		bandit_kr6
					0.6													bandit_kr6
					4												blackguard
					1														blackguard
					2														blackguard
					1												blackguard
					2		bandit_kr6		bandit_kr6
					0.6		bandit_kr6		bandit_kr6
					0.6		bandit_kr6		bandit_kr6
					4		shadow_archer_kr6
					1				shadow_archer_kr6
					1			shadow_archer_kr6
					10												blackguard
					1														blackguard
					1												blackguard
					1														blackguard
					3												bandit_kr6		bandit_kr6
					0.6													bandit_kr6
					1												bandit_kr6		bandit_kr6
					0.6													bandit_kr6
					5		bandit_kr6		bandit_kr6
					0.6				bandit_kr6
					0.6		bandit_kr6
					0.6		bandit_kr6		bandit_kr6
					4			shadow_archer_kr6
					1		shadow_archer_kr6
					1				shadow_archer_kr6









#	WAVE 3										O. Wildling x6
Worg x8
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre
#	cant.					0	0	0	0		0	0	0	0		0	0	8	0		6	0	0
#	gold	200				0	0	0	0		0	0	0	0		0	0	80	0		120	0	0
	wave		3		22
					0								worg
					0							orc_wildling
					2									orc_wildling
					2								worg
					2							orc_wildling
					1								worg
					1									worg
					26								worg
					0									orc_wildling
