#	COMANDOS					1 - Abajo Izquierda a Abajo Derecha					2 - Izquierda Arriba a Arriba Derecha					3 - Izquierda Arriba a Abajo Derecha					4 - Abajo Medio a Abajo Derecha
	column_names				inc	1:*	1:2	1:1	1:3		2:*	2:2	2:1	2:3		3:*	3:2	3:1	3:3		4:*	4:2	4:1	4:3
#	level properties
	description	main JC
	lives	20
	gold	1000
	gems	150
	enemy_prefix	enemy_
	default_increment	1
	default_interval	20
#	expected gold	1200
#	stage total gold	2958
#	stage gold curve
#	WAVE 1										Bandit x12
Blackguard x10
Headhunter x1
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre_kr6
#	cant.					12	10	0	0		0	0	1	0		0	0	0	0		0	0	0
#	gold	220				60	80	0	0		0	0	80	0		0	0	0	0		0	0	0
	wave		1		-1
					0							blackguard
					1									blackguard
					1							blackguard
					1									blackguard
					0.6							bandit_kr6
					0.6								bandit_kr6
					0.6									bandit_kr6
					0.6								bandit_kr6

					10								headhunter
					6							bandit_kr6		bandit_kr6
					1							bandit_kr6		bandit_kr6
					1							bandit_kr6		bandit_kr6
					1							bandit_kr6		bandit_kr6

					8							blackguard
					1									blackguard
					1							blackguard		blackguard
					1									blackguard
					1							blackguard





#	WAVE 2					Goblin x15															Goblin x15
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre_kr6
#	cant.					0	0	0	0		0	0	0	30		0	0	0	0		0	0	0
#	gold	60				0	0	0	0		0	0	0	60		0	0	0	0		0	0	0
	wave		2		25
					0
					0.6	goblin_kr6
					0.6	goblin_kr6
					0.6	goblin_kr6
					0.6	goblin_kr6
					0.6	goblin_kr6
					0.6	goblin_kr6
					0.6	goblin_kr6
					0
	event	bush	1	1	6	6
					2																goblin_kr6
					0.6																goblin_kr6
					0.6																goblin_kr6
					0.6																goblin_kr6
					0.6																goblin_kr6
					0.6																goblin_kr6
					0.6																goblin_kr6
					0.6																goblin_kr6
					8	goblin_kr6
					0.6	goblin_kr6
					0.6	goblin_kr6
					0.6	goblin_kr6
					0.6	goblin_kr6
					0.6	goblin_kr6
					0.6	goblin_kr6
					0.6	goblin_kr6
	event	bush	2	1	3	6
					4																goblin_kr6
					0.6																goblin_kr6
					0.6																goblin_kr6
					0.6																goblin_kr6
					0.6																goblin_kr6
					0.6																goblin_kr6
					0.6																goblin_kr6














#	WAVE 3					O. Wildling x5
Worg x12															Wulf x20
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre_kr6
#	cant.					0	0	0	0		0	0	0	0		0	20	12	0		5	0	0
#	gold	300				0	0	0	0		0	0	0	0		0	80	120	0		100	0	0
	wave		3		28
					0		worg
					1				worg
					1		worg	orc_wildling													wulf
					0.6																wulf
					0.6																wulf
					0.6																wulf
					0.6																wulf
					0
					11				worg
					1		worg
					1			orc_wildling	worg												wulf
					0.6																wulf
					0.6																wulf
					0.6																wulf
					0.6																wulf
					0.6
					0
					9				worg
					1			worg
					1		orc_wildling
					1				worg
					0																wulf
					0.6																wulf
					0.6																wulf
					0.6																wulf
					0.6																wulf
					0
					10		worg		worg
					2		orc_wildling		orc_wildling
					1			worg
					0																wulf
					0.6																wulf
					0.6																wulf
					0.6																wulf
					0.6																wulf


#	WAVE 4					R. Goblin x15
Wulf x15
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre_kr6
#	cant.					0	0	0	0		0	0	0	0		0	15	0	0		0	15	0
#	gold	210				0	0	0	0		0	0	0	0		0	60	0	0		0	150	0
	wave		4		24
					0			rider_goblin
					1.5		rider_goblin
					1.5				rider_goblin
					4	wulf
					0.6	wulf
					0.6	wulf
					0.6	wulf
					0.6	wulf
					0
					3			rider_goblin
					1.5		rider_goblin
					1.5				rider_goblin
					1.5			rider_goblin
					4	wulf
					0.6	wulf
					0.6	wulf
					0.6	wulf
					0.6	wulf
					1	wulf
					0.6	wulf
					0.6	wulf
					0.6	wulf
					0.6	wulf
					2			rider_goblin
					1.5		rider_goblin
					1.5				rider_goblin
					1.5		rider_goblin
					3				rider_goblin
					1.5			rider_goblin
					1.5		rider_goblin
					1.5				rider_goblin







#	WAVE 5					Crow x20
S. Archer x10										Headhunter x2
S. Archer x6
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre_kr6
#	cant.					0	0	0	16		20	0	2	0		0	0	0	0		0	0	0
#	gold	440				0	0	0	240		40	0	160	0		0	0	0	0		0	0	0
	wave		5		22
					0													headhunter
					1												shadow_archer_kr6
					1														shadow_archer_kr6
					1												shadow_archer_kr6
					0	crow
					0.6	crow
					0.6	crow
					0.6	crow
					0.6	crow
					0	shadow_archer_kr6
					1	shadow_archer_kr6
					1	shadow_archer_kr6
					1	shadow_archer_kr6
					4	crow
					0.6	crow
					0.6	crow
					0.6	crow
					0.6	crow
					3	shadow_archer_kr6
					1	shadow_archer_kr6
					1	shadow_archer_kr6
					1	shadow_archer_kr6
					1	shadow_archer_kr6
					1	shadow_archer_kr6
					4	crow													headhunter
					0.6	crow
					0.6	crow
					0.6	crow
					0.6	crow
					2	crow											shadow_archer_kr6
					0.6	crow
					0.6	crow												shadow_archer_kr6
					0.6	crow
					0.6	crow											shadow_archer_kr6








#	WAVE 6					R. Goblin x15															Goblin x30
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre_kr6
#	cant.					0	0	0	0		0	0	0	33		0	0	0	0		0	15	0
#	gold	216				0	0	0	0		0	0	0	66		0	0	0	0		0	150	0
	wave		6		26
	event	bush	1	3	0	4
					0	rider_goblin
					2	rider_goblin
					2	rider_goblin															goblin_kr6
					0.6																goblin_kr6
					0.6																goblin_kr6
					0.6																goblin_kr6
					0.6																goblin_kr6
					0.6																goblin_kr6
	event	bush	1	3	4	4
					2	rider_goblin
					2	rider_goblin
					2	rider_goblin
					2	rider_goblin
					0																goblin_kr6
					0.6																goblin_kr6
					0.6																goblin_kr6
					0.6																goblin_kr6
					0.6																goblin_kr6
					0.6																goblin_kr6
					3																goblin_kr6
					0.6																goblin_kr6
					0.6																goblin_kr6
					0.6																goblin_kr6
					0.6																goblin_kr6
					0.6																goblin_kr6
					2																goblin_kr6
					0.6																goblin_kr6
					0.6																goblin_kr6
					0.6																goblin_kr6
					0.6																goblin_kr6
					0.6																goblin_kr6
	event	bush	1	3	0	4
					0	rider_goblin
					2	rider_goblin
					2	rider_goblin
					2	rider_goblin
					0.6																goblin_kr6
					0.6																goblin_kr6
					0.6	rider_goblin															goblin_kr6
					0.6																goblin_kr6
					0.6																goblin_kr6
					0.6	rider_goblin															goblin_kr6
					0.6																goblin_kr6
					0.6																goblin_kr6
					0.6	rider_goblin															goblin_kr6
					2	rider_goblin












#	WAVE 7										(Blackguard x16)
O. Warrior x20
O. Shaman x8
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre_kr6
#	cant.					0	0	0	0		0	0	0	0		20	0	0	5		0	0	0
#	gold	360				0	0	0	0		0	0	0	0		300	0	0	60		0	0	0
	wave		7		22
					0							orc_warrior
					1									orc_warrior
					1							orc_warrior
					1								orc_shaman
					1									orc_warrior
					1							orc_warrior
					1									orc_warrior
					1								orc_shaman
					10							orc_warrior		orc_warrior
					1							orc_warrior		orc_warrior
					7								orc_warrior
					1							orc_warrior		orc_warrior
					1								orc_warrior
					1							orc_shaman		orc_shaman
					7								orc_shaman
					1							orc_warrior		orc_warrior
					1								orc_warrior
					1							orc_warrior		orc_warrior
					1								orc_warrior


























#	WAVE 8					Crowcaller x2
Crow x30
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre_kr6
#	cant.					0	0	0	0		36	2	0	0		0	0	0	0		0	0	0
#	gold	152				0	0	0	0		72	80	0	0		0	0	0	0		0	0	0
	wave		8		22
					0	crow
					0.6	crow
					0.6	crow
					0.6	crow
					1	crow
					0.6	crow
					0.6	crow
					1	crow
					0.6	crow
					0.6	crow
	event	bush	1	1	3	6
					1	crow
					0.6	crow
					1	crow
					0.6	crow
					0.6	crow
					0.6	crow
					0		crowcaller
					2				crowcaller
					0	crow
					0.6	crow
					0.6	crow
					0.6	crow
	event	bush	3	1	2	6
					0.6	crow
					0.6	crow
					0.6	crow
					0.6	crow
					3	crow
					0.6	crow
					0.6	crow
					0.6	crow
	event	bush	2	1	1	6
					0.6	crow
					0.6	crow
					0.6	crow
					0.6	crow
					1	crow
					0.6	crow
					0.6	crow
					0.6	crow





#	WAVE 9															Bandit x20
O. Shaman x4					R. Goblin x8
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre_kr6
#	cant.					0	0	0	0		0	0	2	0		0	0	0	2		0	8	0
#	gold	264				0	0	0	0		0	0	160	0		0	0	0	24		0	80	0
	wave		9		22
					0												headhunter
					2														headhunter
					3													orc_shaman
					2												orc_shaman
					2																rider_goblin
					1.5																rider_goblin
					1.5																rider_goblin
					1.5																rider_goblin
					3																rider_goblin
					1.5																rider_goblin
					1.5																rider_goblin
					1.5																rider_goblin





















#	WAVE 10					Ogre x2
Wulf x20															O. Warrior x10
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre_kr6
#	cant.					0	0	0	0		0	0	0	0		10	0	10	0		0	0	2
#	gold	490				0	0	0	0		0	0	0	0		150	0	100	0		0	0	240
	wave		10		22
					0																orc_warrior
					2																orc_warrior
					2																orc_warrior
					1	worg
					1	worg
					1	worg
					1	worg
					1	worg
					0			ogre_kr6
					8																	orc_warrior
					1																			orc_warrior
					1																	orc_warrior
					0
					10																	orc_warrior
					1			ogre_kr6																orc_warrior
					1																	orc_warrior
					1																			orc_warrior
					5		worg
					1				worg
					1		worg
					1				worg
					1		worg












#	WAVE 11					Crow x20					Blackguard x10
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre_kr6
#	cant.					0	11	0	0		24	0	0	0		0	0	0	0		0	0	0
#	gold	136				0	88	0	0		48	0	0	0		0	0	0	0		0	0	0
	wave		11		22
					0	crow
					0.6	crow
					0.6	crow
					0.6	crow
					0.6	crow
	event	bush	4	5	0	5
					2	crow
					0.6	crow
					0.6	crow
					0.6	crow
					0.6	crow
					1	crow						blackguard		blackguard
					0.6	crow
					0.6	crow							blackguard
					1	crow						blackguard		blackguard
					0.6	crow
					0.6	crow
	event	bush	4	5	3	5
					2	crow
					0.6	crow
					0.6	crow							blackguard
					0.6	crow
					0.6	crow						blackguard		blackguard
					0.6	crow
	event	bush	4	5	0	5
					0.6	crow							blackguard
					0.6	crow
					0.6							blackguard		blackguard


























#	WAVE 12					Ogre x1
R. Goblin x10										Ogre x1
S. Archers x10					R. Goblin x10
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre_kr6
#	cant.					0	0	0	10		0	0	0	0		0	0	0	0		0	22	2
#	gold	610				0	0	0	150		0	0	0	0		0	0	0	0		0	220	240
	wave		12		22
					0																rider_goblin
					1.5																rider_goblin
					1.5																rider_goblin
					2													ogre_kr6
					1.2												shadow_archer_kr6
					1.2														shadow_archer_kr6
					1.2												shadow_archer_kr6
					1.2														shadow_archer_kr6
					1.2												shadow_archer_kr6
					1																rider_goblin
					1.2	rider_goblin															rider_goblin
					1.2	rider_goblin															rider_goblin
					1.2	rider_goblin															rider_goblin
					1.2	rider_goblin
					4			ogre_kr6
					1.2											shadow_archer_kr6
					1.2											shadow_archer_kr6
					1.2											shadow_archer_kr6
					1.2											shadow_archer_kr6
					1.2											shadow_archer_kr6
					2.4		rider_goblin
					1.2				rider_goblin												rider_goblin
					1.2		rider_goblin														rider_goblin
					1.2				rider_goblin												rider_goblin
					1.2		rider_goblin														rider_goblin
					1.2				rider_goblin
					1.2		rider_goblin






#	WAVE 13										Headhunter x3
O. Warrior x12
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre_kr6
#	cant.					0	0	0	0		0	0	3	0		12	0	0	0		0	0	0
#	gold	420				0	0	0	0		0	0	240	0		180	0	0	0		0	0	0
	wave		13		22
	event	bush	4	5	0	4
					0								headhunter
					2							orc_warrior
					1									orc_warrior
					1							orc_warrior
					2								orc_warrior
					2							orc_warrior		orc_warrior
	event	bush	4	5	0	4
					3						orc_warrior
					2						orc_warrior
					2						orc_warrior
					4							headhunter
					3									headhunter
	event	bush	4	5	0	5
					3								orc_warrior
					2							orc_warrior
					2									orc_warrior














#	WAVE 14					Headhunter x2
O. Shaman x2										Headhunter x2
O. Shaman x3
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre_kr6
#	cant.					0	0	0	0		0	0	4	0		0	0	0	5		0	0	0
#	gold	380				0	0	0	0		0	0	320	0		0	0	0	60		0	0	0
	wave		14		22
	event	bush	3	1	0	4
	event	bush	2	1	3	4
	event	bush	1	1	1	5
	event	bush	4	5	2	5
					0			headhunter
					1													headhunter
					2		orc_shaman										orc_shaman
					2				orc_shaman										orc_shaman
	event	bush	1	2	0	4
	event	bush	4	5	2	5
	event	bush	2	1	1	4
	event	bush	1	1	4	5
	event	bush	2	1	6	4
					0												headhunter
					2														headhunter
					2													orc_shaman
	event	bush	3	1	4	5
	event	bush	1	2	6	4
	event	bush	4	5	2	5



#	WAVE 15					Ogre x2
O. Shaman x4
R. Goblin x17					Ogre x2
Blackguard x12
O. Shaman x4										Ogre x2
Goblin x12
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre_kr6
#	cant.					0	21	0	0		0	0	0	16		0	0	0	8		0	17	5
#	gold	1066				0	168	0	0		0	0	0	32		0	0	0	96		0	170	600
	wave		15		25
					0			ogre_kr6					ogre_kr6										ogre_kr6
	event	bush	4	5	3	5
	event	bush	3	1	1	5
					2							blackguard
					1									blackguard
					1							blackguard
					1									blackguard
					1							blackguard
					1									blackguard
					0	orc_shaman
					2	orc_shaman
					3	rider_goblin															goblin_kr6
					0.6																goblin_kr6
					0.6	rider_goblin					orc_shaman										goblin_kr6
					0.6																goblin_kr6
					0.6	rider_goblin															goblin_kr6
					0.6						orc_shaman										goblin_kr6
					0.6	rider_goblin
					6		orc_shaman
					2				orc_shaman
					2		rider_goblin
					1.2			rider_goblin
					1.2		rider_goblin
					0.6								ogre_kr6
					0.6			rider_goblin
	event	bush	1	2	8	5
					2							blackguard
					1									blackguard
					1							blackguard
					0.5								orc_shaman
					2									blackguard
					1							blackguard
					1									blackguard
					2								orc_shaman
					0																		ogre_kr6
	event	bush	3	1	0	5
	event	bush	2	1	2	5
					0																goblin_kr6
					0.6		rider_goblin														goblin_kr6
					0.6																goblin_kr6
					0.6				rider_goblin												goblin_kr6
					0.6																goblin_kr6
					0.6		rider_goblin					blackguard		blackguard							goblin_kr6
					0.6																goblin_kr6
					0.6			rider_goblin					blackguard								goblin_kr6
					0.6																goblin_kr6
					0.6		rider_goblin					blackguard		blackguard							goblin_kr6
					0.6
					0.6				rider_goblin				blackguard
					1.2		rider_goblin					blackguard		blackguard
					1.2			rider_goblin					blackguard
					1.2				rider_goblin
