#	COMANDOS					1 - Arriba (fase 1)					2 - Abajo (fase 1)					3 - Arriba (fase 2)					4 - Abajo (fase 2)					5 - Arriba al medio (fase 3)					6 - Medio (fase 3)					7 - Abajo al medio (fase 3)
	column_names				inc	1:*	1:2	1:1	1:3		2:*	2:2	2:1	2:3		3:*	3:2	3:1	3:3		4:*	4:2	4:1	4:3		5:*	5:2	5:1	5:3		6:*	6:2	6:1	6:3		7:*	7:2	7:1	7:3
#	level properties
	description	main JA
	lives	20
	gold	1000
	gems	150
	enemy_prefix	enemy_
	default_increment	1
	default_interval	20
#	expected gold	1200
#	stage total gold	8261
#	stage gold curve
#	WAVE 1
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre_kr6
#	cant.					0	0	0	0		0	0	0	20		11	0	0	0		0	0	0
#	gold	225				0	0	0	0		0	0	0	60		165	0	0	0		0	0	0
	wave		1		-1
					0			orc_warrior
					0.6				orc_warrior
					0.6		orc_warrior
					6							goblin_kr6
					0.5									goblin_kr6
					0.5								goblin_kr6
					0.5							goblin_kr6
					0.5								goblin_kr6
					0.5									goblin_kr6
					0.5								goblin_kr6
					0.5							goblin_kr6
					0.5								goblin_kr6
					0.5									goblin_kr6
					4		orc_warrior
					0.8				orc_warrior
					0.8		orc_warrior
					0.8				orc_warrior
					6									goblin_kr6
					0.6							goblin_kr6
					0.6								goblin_kr6
					0.6									goblin_kr6
					0.6								goblin_kr6
					0.6							goblin_kr6
					0.6								goblin_kr6
					0.6									goblin_kr6
					0.6								goblin_kr6
					0.6							goblin_kr6
					4			orc_warrior
					0.6				orc_warrior
					0.6		orc_warrior
					0.6			orc_warrior





#	WAVE 2
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre_kr6
#	cant.					16	0	0	7		0	0	0	0		0	0	0	0		0	0	0
#	gold	185				80	0	0	105		0	0	0	0		0	0	0	0		0	0	0
	wave		2		25
					0								shadow_archer_kr6
					0.6									shadow_archer_kr6
					0.6							shadow_archer_kr6
					4						bandit_kr6
					0.8						bandit_kr6
					0.8						bandit_kr6
					0.8						bandit_kr6
					0.8						bandit_kr6
					0.8						bandit_kr6
					0.8						bandit_kr6
					0.8						bandit_kr6
					10								shadow_archer_kr6
					0.6							shadow_archer_kr6
					0.6									shadow_archer_kr6
					0.6								shadow_archer_kr6
					4						bandit_kr6
					0.8						bandit_kr6
					0.8						bandit_kr6
					0.8						bandit_kr6
					0.8						bandit_kr6
					0.8						bandit_kr6
					0.8						bandit_kr6
					0.8						bandit_kr6
#	WAVE 3
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre_kr6
#	cant.					0	16	12	0		0	0	0	0		0	0	0	0		0	0	0
#	gold	248				0	128	120	0		0	0	0	0		0	0	0	0		0	0	0
	wave		3		25
					0		blackguard
					0.2				blackguard
					0.6		blackguard
					0.1				blackguard
					8	shadow_blades
					0.8	shadow_blades
					0.8	shadow_blades
					0.8	shadow_blades
					0.8	shadow_blades
					0.8	shadow_blades
					6		blackguard
					0.1				blackguard
					0.8		blackguard
					0.08				blackguard
					0.8		blackguard
					0.1				blackguard
					6	shadow_blades
					0.8	shadow_blades
					0.7	shadow_blades
					0.8	shadow_blades
					0.6	shadow_blades
					0.8	shadow_blades
					4				blackguard
					0.08		blackguard
					0.8				blackguard
					0.1		blackguard
					0.7				blackguard
					0.14		blackguard
#	WAVE 4
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre_kr6
#	cant.					0	0	0	0		0	0	0	0		0	0	12	0		5	0	0
#	gold	220				0	0	0	0		0	0	0	0		0	0	120	0		100	0	0
	wave		4		24
					0			orc_wildling
					0.8							worg
					0.6									worg
					0.7							worg
					8			orc_wildling
					0.8									worg
					0.7							worg
					0.8									worg
					8			orc_wildling
					0.8							worg
					0.6									worg
					0.7							worg
					8		orc_wildling
					1				orc_wildling
					0.8								worg
					0.9								worg
					0.8								worg

#	WAVE 5
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre_kr6
#	cant.					0	0	0	0		0	0	0	20		12	0	0	0		0	10	0
#	gold	340				0	0	0	0		0	0	0	60		180	0	0	0		0	100	0
	flags															n	n	n	n		n	n	n	n
	wave		5		18
					4																rider_goblin
					1.1																rider_goblin
					1.2																rider_goblin
					1																rider_goblin
					1.2																rider_goblin
					3													orc_warrior
					2.5														orc_warrior
					0.4												orc_warrior
					2.8														orc_warrior
					0.5												orc_warrior
					6																	goblin_kr6
					0.5																		goblin_kr6
					0.5																	goblin_kr6
					0.5																			goblin_kr6
					0.5																		goblin_kr6
					0.5																			goblin_kr6
					0.5																	goblin_kr6
					0.5																			goblin_kr6
					0.5																	goblin_kr6
					0.5																		goblin_kr6
					2														orc_warrior
					0.4												orc_warrior
					3														orc_warrior
					0.4												orc_warrior
					3														orc_warrior
					0.6												orc_warrior
					3													orc_warrior
					4																		goblin_kr6
					0.6																	goblin_kr6
					0.6																			goblin_kr6
					0.6																		goblin_kr6
					0.6																			goblin_kr6
					0.6																		goblin_kr6
					0.6																	goblin_kr6
					0.6																			goblin_kr6
					0.6																		goblin_kr6
					0.6																			goblin_kr6
					4																rider_goblin
					1.2																rider_goblin
					1																rider_goblin
					1.2																rider_goblin
					1.1																rider_goblin

#	WAVE 6
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre_kr6
#	cant.					14	0	8	0		0	0	2	0		0	0	0	0		0	0	0
#	gold	310				70	0	80	0		0	0	160	0		0	0	0	0		0	0	0
	flags
	wave		6		22
					0													headhunter
					4												shadow_blades
					0.2														shadow_blades
					0.8														shadow_blades
					0.1												shadow_blades
					6																	bandit_kr6
					0.8																			bandit_kr6
					0.06																	bandit_kr6
					0.8																			bandit_kr6
					0.08																	bandit_kr6
					0.8																			bandit_kr6
					0.06																		bandit_kr6
					6													headhunter
					4														shadow_blades
					0.2												shadow_blades
					0.6														shadow_blades
					0.08												shadow_blades
					2																		bandit_kr6
					0.8																	bandit_kr6
					0.06																			bandit_kr6
					0.8																	bandit_kr6
					0.08																			bandit_kr6
					0.8																	bandit_kr6
					0.06																			bandit_kr6

#	WAVE 7
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre_kr6
#	cant.					0	18	0	0		0	0	0	0		0	0	0	7		0	0	2
#	gold	468				0	144	0	0		0	0	0	0		0	0	0	84		0	0	240
	wave		7		26
					0																		ogre_kr6
					1.2																	orc_shaman		orc_shaman
					1.2																		orc_shaman
	event	catapult	3		6
					6												blackguard		blackguard
					1.2													blackguard
					1.2												blackguard		blackguard
					1.2													blackguard
					1.2												blackguard		blackguard
					6																	orc_shaman		orc_shaman
					1.2																		ogre_kr6
					1.2																	orc_shaman		orc_shaman
	event	catapult	3		6
					6													blackguard
					1.2												blackguard		blackguard
					1.2													blackguard
					1.2												blackguard		blackguard
					1.2													blackguard
					1.2												blackguard		blackguard
					1.2													blackguard

#	WAVE 8
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre_kr6			orc_wildling	rider_goblin	ogre_kr6			orc_wildling	rider_goblin	ogre_kr6			orc_wildling	rider_goblin	ogre_kr6
#	cant.					0	0	6	0		42	2	0	0		0	0	0	0		0	0	0			0	0	0			0	0	0			0	0	0
#	gold	224				0	0	60	0		84	80	0	0		0	0	0	0		0	0	0			0	0	0			0	0	0			0	0	0
	wave		8		28
	event	crows	sb	3	0
					0.8											crow
					0.7											crow
					0.8											crow
					0.6											crow
					0.8													crow						crow
					0.8												crow						crow
					0.7													crow						crow
					0.8												crow						crow
					0.9																crow
					0.8																crow
					0.7																crow
					0.8																crow
					0.6																crow
					0.8																crow
					0.9																crow
					0.8																crow
					2																	crowcaller
					1																			crowcaller
	event	crows	sb	3	10											crow
					0.8											crow
					0.8											crow
					0.8											crow
					0.8													crow
					0.7												crow
					0.8													crow
					0.6												crow
					0.8													crow						crow
					0.9												crow						crow
					0.8													crow						crow
					0.7												crow						crow
					0.8																crow
					0.6																crow
					0.8																crow
					0.8																crow
					0.7																crow
					0.8																crow

#	WAVE 9
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre_kr6
#	cant.					0	0	0	12		0	0	4	0		0	0	0	0		0	0	0
#	gold	500				0	0	0	180		0	0	320	0		0	0	0	0		0	0	0
	wave		9		22
					0													headhunter
					3												shadow_archer_kr6
					0.1														shadow_archer_kr6
					0.8													shadow_archer_kr6
					0.8														shadow_archer_kr6
					0.1												shadow_archer_kr6
					2													headhunter

					14												headhunter
					2														headhunter
					4													shadow_archer_kr6
					0.8														shadow_archer_kr6
					0.1												shadow_archer_kr6
					0.8													shadow_archer_kr6
					0.8														shadow_archer_kr6
					0.1												shadow_archer_kr6
					0.8													shadow_archer_kr6

#	WAVE 10
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre_kr6
#	cant.					0	0	10	0		0	0	0	0		0	0	0	0		14	11	0
#	gold	490				0	0	100	0		0	0	0	0		0	0	0	0		280	110	0
	wave		10		26
					0											orc_wildling
					1.5											orc_wildling
					1.6											orc_wildling
					1.4											orc_wildling
	event	crows	sb	3	0
					1.5											orc_wildling
					8																		orc_wildling
					1.5																			rider_goblin
					0.2																	rider_goblin

					8																		rider_goblin
					1.6																	rider_goblin
					0.1																			rider_goblin
					1.4																		rider_goblin
	event	crows	sb	3	0
	event	crows	sb	4	10
					4											orc_wildling
					1.5											orc_wildling
					1.6											orc_wildling
					6											orc_wildling
					1.5											orc_wildling
					1.5											orc_wildling
					1.6											orc_wildling
					1.2																			rider_goblin
					0.08																	rider_goblin
					1.5																		rider_goblin
					1.5																	rider_goblin
					0.1																			rider_goblin
					1.6																		orc_wildling

#	WAVE 11
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre_kr6
#	cant.					0	0	0	0		0	0	0	0		12	0	0	7		0	0	3
#	gold	624				0	0	0	0		0	0	0	0		180	0	0	84		0	0	360
	wave		11		30
					0												orc_warrior
					0.1														orc_warrior
					2													ogre_kr6
					2														orc_warrior
					0.1												orc_warrior
					4																		orc_shaman
					1																		ogre_kr6
					2																	orc_shaman		orc_shaman
	event	catapult	4		6
					6												orc_warrior
					0.1														orc_warrior
					2													orc_warrior
					2												orc_warrior
					0.1														orc_warrior
					2													orc_warrior
					2														orc_warrior
					0.1												orc_warrior
					4																		ogre_kr6
					4																	orc_shaman
					0.08																			orc_shaman
					0.8																			orc_shaman
					0.1																	orc_shaman
	event	catapult	4		6

#	WAVE 12
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre_kr6
#	cant.					0	0	0	22		30	4	0	0		0	0	0	0		0	0	0
#	gold	550				0	0	0	330		60	160	0	0		0	0	0	0		0	0	0
	wave		12		26
					0.6											crow
					0.6												crow		crow
					0.6											crow
					0.6												crow		crow
					0.6											crow
					0.6												crow		crow
					0.6											crow
					0.6												crow		crow
					0.6											crow
					0.6												crow		crow
	event	crows	sa	3	2
					4																shadow_archer_kr6
					0.8																shadow_archer_kr6
					0.8																shadow_archer_kr6
					0.8																	crowcaller
					0.1																			crowcaller
					0.8																shadow_archer_kr6
					0.8																shadow_archer_kr6
					0.8																shadow_archer_kr6
	event	crows	sa	3	6
					2											crow
					0.6												crow		crow
					0.6											crow
					0.6												crow		crow
					0.6											crow
					0.6												crow		crow
					0.6											crow
					0.6												crow		crow
					0.6											crow
					0.6												crow		crow
	event	crows	sa	4	4
					4																shadow_archer_kr6
					0.8																shadow_archer_kr6
					0.8																shadow_archer_kr6
					0.8																			crowcaller
					0.06																	crowcaller
					0.8																shadow_archer_kr6
					0.8																shadow_archer_kr6
					0.8																shadow_archer_kr6

#	WAVE 13
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre_kr6
#	cant.					0	18	0	0		0	0	6	0		0	0	0	0		0	16	0
#	gold	784				0	144	0	0		0	0	480	0		0	0	0	0		0	160	0
	wave		13		26
					0													headhunter
					2											blackguard
					0.8											blackguard
					0.6											blackguard
					0.8											blackguard
					0.8											blackguard
					0.6											blackguard
					0.8											blackguard
					0.8											blackguard
					2												headhunter
					2														headhunter
					4																	rider_goblin
					1.2																			rider_goblin
					1.2																	rider_goblin
	event	catapult	4		0.6
					0.6																		rider_goblin
					1.2																			rider_goblin
					1.2																		rider_goblin
					1.2																	rider_goblin
					1.2																			rider_goblin
					2												headhunter
					2														headhunter
					0.8											blackguard
					0.6											blackguard
					0.8											blackguard
					0.7											blackguard
					0.8											blackguard
					0.8											blackguard
					0.6											blackguard
					0.7											blackguard
					0.8											blackguard
					0.8											blackguard
					0.8													headhunter
					4																	rider_goblin
					1.2																			rider_goblin
					1.2																	rider_goblin
	event	catapult	5		0.6
					0.6																		rider_goblin
					1.2																			rider_goblin
					1.2																		rider_goblin
					1.2																	rider_goblin
					1.2																			rider_goblin

#	WAVE 14
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre_kr6
#	cant.					0	0	0	0		0	0	0	0		0	24	15	0		18	0	0
#	gold	606				0	0	0	0		0	0	0	0		0	96	150	0		360	0	0
	wave		14		24
					0																	wulf
					0.4																			wulf
					0.4																	wulf
					0.5																		wulf
					0.5																			wulf
					0.4																	wulf
					0.5																		wulf
					0.5																			wulf
					0.4																	wulf
					0.5																		wulf
					0.5																	wulf
					0.4																			wulf
					2													orc_wildling						worg
					1.2												orc_wildling						worg
					1.6												orc_wildling						worg
					1.2													orc_wildling						worg
					1.2												orc_wildling						worg
					1														orc_wildling					worg
					1.2											orc_wildling
					1.5											orc_wildling
					1.6											orc_wildling
					1.4											orc_wildling
					8.3																worg
					1.2																worg
					1.3																worg
					1.2																worg
					1.2																worg
					1.4												orc_wildling						worg
					1.3													orc_wildling						worg
					1.2												orc_wildling						worg
					1.6												orc_wildling						worg
					1.2											orc_wildling
					1.6											orc_wildling
					1.5											orc_wildling
					1.6											orc_wildling
					4																		wulf
					0.5																	wulf
					0.5																		wulf
					0.5																			wulf
					0.4																	wulf
					0.5																		wulf
					0.5																	wulf
					0.4																			wulf
					0.5																		wulf
					0.5																	wulf
					0.4																			wulf
					0.5																		wulf


#	WAVE 15
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre_kr6
#	cant.					0	0	0	8		0	0	7	8		0	0	0	5		0	0	2
#	gold	1004				0	0	0	120		0	0	560	24		0	0	0	60		0	0	240
	wave		15		30
					12																		ogre_kr6
					1.2																	orc_shaman
					0.1																			orc_shaman
					6														headhunter
					1												headhunter
					2.5													headhunter
	event	crows	sa	4	4
	event	catapult	4		5
					10													headhunter
					2.6												headhunter
					1														headhunter
					2.5													headhunter
	event	crows	sa	4	4
	event	catapult	4		5
					0																			orc_shaman
					0.1																	orc_shaman
					1.8																		ogre_kr6
					0.1																		orc_shaman
					1

#	WAVE BOSS
#	enemies					bandit_kr6	blackguard	shadow_blades	shadow_archer_kr6		crow	crowcaller	headhunter	goblin_kr6		orc_warrior	wulf	worg	orc_shaman		orc_wildling	rider_goblin	ogre_kr6
#	cant.					0	0	8	0		0	0	2	28		0	0	0	0		0	4	1
#	gold	484				0	0	80	0		0	0	160	84		0	0	0	0		0	40	120
	manual_wave	BOSS1
					8																											goblin_kr6
					0.06																													goblin_kr6
					0.6																										goblin_kr6
					0.6																										goblin_kr6
					0.6																										goblin_kr6
					0.6																										goblin_kr6
					0.6																													goblin_kr6
					0.06																											goblin_kr6
					0.6																										goblin_kr6
					0.6																										goblin_kr6
					0.6																										goblin_kr6
					0.6																										goblin_kr6
					6																																	ogre_kr6
					4																																rider_goblin
					0.6																																		rider_goblin
					0.6																																rider_goblin
					0.6																																		rider_goblin
	event	catapult	4		1
					10																						headhunter
					2																								headhunter
					4																					shadow_blades
					0.6																					shadow_blades
					0.6																					shadow_blades
					0.6																					shadow_blades
					0.6																					shadow_blades
	event	crows	sb	3	2
					10																											goblin_kr6
					0.06																													goblin_kr6
					0.6																										goblin_kr6
					0.6																										goblin_kr6
					0.6																										goblin_kr6
					0.6																										goblin_kr6
					0.6																											goblin_kr6
					0.06																													goblin_kr6
					0.6																										goblin_kr6
					0.6																										goblin_kr6
					0.6																										goblin_kr6
					0.6																										goblin_kr6
	wait				12
	manual_wave_repeat	-1			0
